Código;Descrição;Local
E631570G520HD;E63 15X7,0 5X114 ET20 HYPER DIAMOND;23E       
E631570G520P;E63 15X7,0 5X114 ET20 POLIDA;
E631570R50GD;E63 15X7,0 5X139 ET0 GRAPHITE DIAMOND;23D       
E631570R50HD;E63 15X7,0 5X139 ET0 HYPER DIAMOND;23E       
E631580G55GD;E63 15X8,0 5X114 ET-5 GRAPHITE DIAMOND;24E       
E631580G55HD;E63 15X8,0 5X114 ET-5 HYPER DIAMOND;23D       
E631580R55GD;E63 15X8,0 5X139 ET-5 GRAPHITE DIAMOND;24D       
E631580R55HD;E63 15X8,0 5X139 ET-5 HYPER DIAMOND;23D       
E641770G50GD;E64 17X7,0 5X114 ET0 GRAPHITE DIAMOND;50E       
E641770G50HD;E64 17X7,0 5X114 ET0 HYPER DIAMOND;1E        
E641770R50GD;E64 17X7,0 5X139 ET0 GRAPHITE DIAMOND;53E       
E641770R50HD;E64 17X7,0 5X139 ET0 HYPER DIAMOND;5D e 5E   
E8720105G520BD;E87 20X10,5 5X114 ET-20 BLACK DIAMOND;17D       
E8720105G520GD;E87 20X10,5 5X114 ET-20 GRAPHITE DIAMOND;16E       
E8720105R520BD;E87 20X10,5 5X139 ET-20 BLACK DIAMOND;17D       
E8720105R520GD;E87 20X10,5 5X139 ET-20 GRAPHITE DIAMOND;17E       
E8720105R620BD;E87 20X10,5 6X139 ET-20 BLACK DIAMOND;16E       
E8720105R620GD;E87 20X10,5 6X139 ET-20 GRAPHITE DIAMOND;17D       
E872080G50BD;E87 20X8,0 5X114 ET0 BLACK DIAMOND;15D       
E872080G50GD;E87 20X8,0 5X114 ET0 GRAPHITE DIAMOND;15D       
E872080R50BD;E87 20X8,0 5X139 ET0 BLACK DIAMOND;15D       
E872080R50GD;E87 20X8,0 5X139 ET0 GRAPHITE DIAMOND;15D       
E872080R60BD;E87 20X8,0 6X139 ET0 BLACK DIAMOND;15D       
E872080R60GD;E87 20X8,0 6X139 ET0 GRAPHITE DIAMOND;16E       
E901770F5I36BD;E90 17X7 5X112 I ET36 BLACK DIAMOND;43E       
E901770G5N36BD;E90 17X7,0 5X114 N ET36 BLACK DIAMOND;53E       
E901770P5N36BD;E90 17X7,0 5X130 N ET36 BLACK DIAMOND;53E       
ED009;ADESIVO INST 460 (20G) COD33935;
ED011;CAIXA DE PAPELÃO ARO 13 BRANCA;
ED013;CAIXA DE PAPELAO 14X6,0 BRANCA;
ED0132;CAIXA DE PAPELÃO 19X9,0 MK;
ED014;CAIXA DE PAPELAO 15X6 KRMAI;
ED015;CAIXA DE PAPELAO DUPLA 15X6,0 BRANCA;
ED028;CAIXA DE PAPELAO UNIT 17X7,5 BRANCA;
ED034;CAIXA DE PAPELAO 16X7,0 BRANCA;
ED042;CAIXA DE PAPELAO 16X6 BRANCA;
ED043;CAIXA DE PAPELÃO 20X8,5 (BRANCA);
ED056;CAIXA DE PAPELAO 22X9,0 BRANCA;
ED058;CAIXA DE PAPELAO 18X8,0 KRMAI;
ED059;CAIXA DE PAPELAO 20X5,5 KRMAI;
ED065;CAIXA DE PAPELAO 18X8,0 BRANCA;
ED076;MANTA PROTETORA ARO 15;
ED077;MANTA PROTETORA ARO 18;
ED083;CAIXA DE PAPELAO 15X7,0  BRANCA;
ED093;CAIXA PAPELAO 17X8,5 BRANCA;
F11770B4A40B;F1 17X7,0 4X100 ET40 BLACK;7D        
F11770B4A40HG;F1 17X7,0 4X100 ET40 HYPER GLOSS;50D/50E   
F11770B5A40B;F1 17X7,0 5X100 ET40 BLACK;6D        
F11770B5A40HG;F1 17X7,0 5X100 ET40 HYPER GLOSS;48D,E     
F11770D4A40B;F1 17X7,0 4X108 ET40 BLACK;50D/52D   
F11770F5A40HG;F1 17X7,0 5X112 ET40 HYPER GLOSS;66D       
F11770G5A40B;F1 17X7,0 5X114 ET40 BLACK;3E        
F11770G5A40HG;F1 17X7,0 5X114 ET40 HYPER GLOSS;51D       
F22075B4A42B;F2 20X7,5 4X100 A ET42 BLACK F.L;19E       
F22075B5A42B;F2 20X7,5 5X100 A ET42 BLACK;19E       
F22075B5A42BD;F2 20X7,5 5X100 ET42 BLACK DIAMOND F.L;17D       
F22075B5A42HG;F2 20X7,5 5X100 A ET42 HYPER GLOSS F.L;19E       
F22075C5A42HG;F2 20X7,5 5X105 A ET42 HYPER GLOSS;17E       
F22075D5A42HG;F2 20X7,5 5X108 A ET42 HYPER GLOSS F.L;20D       
